player_page,role_1,role_2,needs_review
910,AWPer,,False
AW,Rifler,,False
AZUWU,Rifler,,False
AlekS,IGL,,False
Aleksib,IGL,,False
BELCHONOKK,Rifler,,False
Bart4k,Rifler,,False
Boombl4,Entry,IGL,False
Bymas,Lurker,,False
C4LLM3SU3,Rifler,,False
Chr1zN,IGL,Rifler,False
CrePoW,IGL,,False
EliGE,Entry,,False
EmiliaQAQ,Rifler,,False
Ex3rcice,Rifler,,False
FL4MUS,Entry,,False
FalleN,IGL,Rifler,False
Gizmy,IGL,Rifler,False
Graviti,Rifler,,False
Grim,Entry,,False
HUASOPEEK,Entry,,False
HeavyGod,Rifler,,False
HooXi,Entry,IGL,False
JBa,Rifler,,False
JT,Entry,IGL,False
JamYoung,Rifler,,False
Jame,AWPer,IGL,False
Jee,AWPer,,False
KSCERATO,Lurker,,False
Krabeni,IGL,,False
Kvem,Rifler,,False
LNZ,IGL,,False
Lake,Rifler,,False
Lucky,Unknown,,True
MAJ3R,IGL,Rifler,False
MATYS,Unknown,,True
MaSvAl,Rifler,,False
Magnojez,Rifler,,False
Maka,AWPer,IGL,False
MalbsMd,Entry,,False
MartinezSa,Unknown,,True
Mercury,IGL,Rifler,False
MoDo,AWPer,,False
Moseyuh,IGL,Rifler,False
Mzinho,Rifler,,False
NAF,Rifler,,False
Neityu,Rifler,,False
NertZ,Rifler,,False
NiKo,Entry,,False
PR,Rifler,,False
REZ,AWPer,Rifler,False
Rainwaker,Lurker,Rifler,False
S1ren,Rifler,,False
SHOCK,Rifler,,False
ScrunK,Analyst,,True
Senzu,AWPer,Rifler,False
Snappi,Entry,IGL,False
Snax,IGL,Rifler,False
Sonic,Unknown,,True
Spinx,Lurker,,False
Staehr,Rifler,,False
Starry,Rifler,,False
SunPayus,AWPer,,False
Swisher,Entry,,False
TH0R,AWPer,IGL,False
Tauson,Rifler,,False
TeSeS,Entry,,False
Techno4K,Rifler,,False
Twistzz,IGL,Rifler,False
V$m,Rifler,,False
Wicadia,Rifler,,False
X5G7V,IGL,Rifler,False
XANTARES,Entry,,False
YEKINDAR,Entry,,False
Zero,Rifler,,False
ZywOo,AWPer,Rifler,False
afro,AWPer,,False
alex,Caster,,True
alex666,IGL,Rifler,False
apEX,IGL,,False
arT,Entry,IGL,False
b1t,Rifler,,False
bLitz,IGL,Rifler,False
beastik,IGL,Rifler,False
biguzera,IGL,Rifler,False
br0,Rifler,,False
brnz4n,Entry,,False
broky,AWPer,,False
cairne,Rifler,,False
cmtry,AWPer,,False
cobrazera,Rifler,,False
controlez,Rifler,,False
corn,Rifler,,False
daps,Coach,,True
dav1g,Entry,,False
dem0n,Rifler,,False
dgt,Lurker,,False
donk,Entry,,False
dumau,AWPer,Rifler,False
dziugss,Rifler,,False
electroNic,Entry,,False
electronic,Unknown,,True
esenthial,Rifler,,False
fame,Rifler,,False
flameZ,Entry,,False
flashie,Coach,,True
frozen,Rifler,,False
huNter-,IGL,Lurker,False
hypex,AWPer,,False
iM,Entry,,False
insani,Rifler,,False
jL,Lurker,,False
jabbi,Rifler,,False
jcobbb,Rifler,,False
karrigan,Entry,IGL,False
kashl1d,AWPer,,False
kensizor,Rifler,,False
kisserek,Rifler,,False
kl1m,AWPer,,False
krazy,Rifler,,False
kyousuke,Entry,,False
latto,AWPer,Rifler,False
lauNX,Rifler,,False
luchov,Entry,,False
m0NESY,AWPer,,False
magixx,IGL,,False
makazze,Rifler,,False
malbsMd,Entry,,False
max,Entry,IGL,False
meyern,AWPer,,False
mezii,Rifler,,False
misutaaa,Rifler,,False
mo0N,AWPer,,False
molodoy,AWPer,,False
mopoz,Entry,,False
mzinho,Rifler,,False
n1ssim,Rifler,,False
nealan,Unknown,,True
nicx,Rifler,,False
nilo,Rifler,,False
nin9,AWPer,IGL,False
nitr0,Entry,IGL,False
nota,Rifler,,False
npl,IGL,Rifler,False
oSee,AWPer,,False
phzy,AWPer,,False
piriajr,Entry,,False
qw1nk1,Rifler,,False
ropz,Lurker,,False
ryu,Coach,,True
s1mple,AWPer,Rifler,False
s1n,IGL,Rifler,False
s1zzi,AWPer,,False
sFade8,IGL,Rifler,False
saadzin,AWPer,,False
saffee,AWPer,,False
sausoL,Unknown,,True
sdy,IGL,Rifler,False
sh1ro,AWPer,,False
siuhy,Entry,IGL,False
sjuush,Rifler,,False
sk0R,Rifler,,False
slaxz-,AWPer,,False
snow,Rifler,,False
soulfly,Rifler,,False
stavn,AWPer,Rifler,False
stressarN,Rifler,,False
susp,Rifler,,False
tN1R,Rifler,,False
tenzy,Entry,,False
torzsi,AWPer,,False
try,AWPer,,False
ultimate,AWPer,,False
v$m,Rifler,,False
venomzera,Rifler,,False
w0nderful,AWPer,,False
westmelon,IGL,Rifler,False
woxic,AWPer,,False
xKacpersky,Rifler,,False
xeedo,Rifler,,False
xelex,Rifler,,False
xerolte,Rifler,,False
xertioN,Entry,IGL,False
xfl0ud,Rifler,,False
xiELO,Rifler,,False
yuurih,Rifler,,False
yxngstxr,Rifler,,False
z4kr,AWPer,Entry,False
zont1x,Rifler,,False
zorte,AWPer,,False
zweih,Rifler,,False
