side,ablation,k,n_features,features,silhouette,davies_bouldin,stability_mean,stability_std,gt_ari,gt_purity,composite_score
t,tactics_only,4,22,"assists_per_round, avg_distance_moved_per_round, avg_distance_to_closest_teammate, avg_distance_to_enemy, avg_distance_to_team_centroid, death_traded_rate, decoys_per_round, fire_nades_per_round, first_contact_rate, first_contact_received_rate, flash_assists_per_round, flashbangs_per_round, he_grenades_per_round, opening_death_rate, opening_duel_success, opening_kill_rate, relative_team_centroid_distance, smokes_per_round, time_near_enemy_rate, time_stationary_rate, trade_kill_rate, util_damage_per_round",0.16361044519609472,1.8496921940802837,0.9331616605035208,0.06366048404915067,0.45601882188055726,0.7890625,0.48342766716845276
t,combat_only,4,7,"kpr, survival_rate, damage_per_round, damage_taken_per_round, multi_kill_rate, rifle_kill_share, awp_kill_share",0.3111622522159998,1.0236740871268286,0.836865133088915,0.18679020900034535,0.26288334094469507,0.609375,0.48332501381034315
t,no_trading_teamwork,4,36,"adr_std, kpr, survival_rate, damage_per_round, damage_taken_per_round, util_damage_per_round, opening_kill_rate, opening_death_rate, opening_duel_success, multi_kill_rate, rifle_kill_share, awp_kill_share, he_grenades_per_round, flashbangs_per_round, smokes_per_round, fire_nades_per_round, decoys_per_round, avg_distance_to_enemy, avg_distance_to_enemy_std, avg_distance_to_team_centroid, avg_distance_to_team_centroid_std, relative_team_centroid_distance, relative_team_centroid_distance_std, avg_distance_moved_per_round, avg_distance_moved_per_round_std, avg_distance_to_closest_teammate, avg_distance_to_closest_teammate_std, time_near_enemy_rate, time_near_enemy_rate_std, first_contact_rate, first_contact_received_rate, time_stationary_rate, time_stationary_rate_std, kast_std, impact_std, rating_std",0.14648383225197853,2.024175669259425,0.8749579292600072,0.06415510985247674,0.4534947650545735,0.7734375,0.44904838498180166
t,full,4,40,"adr_std, kpr, survival_rate, damage_per_round, damage_taken_per_round, util_damage_per_round, assists_per_round, flash_assists_per_round, trade_kill_rate, death_traded_rate, opening_kill_rate, opening_death_rate, opening_duel_success, multi_kill_rate, rifle_kill_share, awp_kill_share, he_grenades_per_round, flashbangs_per_round, smokes_per_round, fire_nades_per_round, decoys_per_round, avg_distance_to_enemy, avg_distance_to_enemy_std, avg_distance_to_team_centroid, avg_distance_to_team_centroid_std, relative_team_centroid_distance, relative_team_centroid_distance_std, avg_distance_moved_per_round, avg_distance_moved_per_round_std, avg_distance_to_closest_teammate, avg_distance_to_closest_teammate_std, time_near_enemy_rate, time_near_enemy_rate_std, first_contact_rate, first_contact_received_rate, time_stationary_rate, time_stationary_rate_std, kast_std, impact_std, rating_std",0.13369960679951973,2.14003384532458,0.8599255983477369,0.0669018080127811,0.46106741876507856,0.7890625,0.4343829398315221
t,no_consistency,4,29,"kpr, survival_rate, damage_per_round, damage_taken_per_round, util_damage_per_round, assists_per_round, flash_assists_per_round, trade_kill_rate, death_traded_rate, opening_kill_rate, opening_death_rate, opening_duel_success, multi_kill_rate, rifle_kill_share, awp_kill_share, he_grenades_per_round, flashbangs_per_round, smokes_per_round, fire_nades_per_round, decoys_per_round, avg_distance_to_enemy, avg_distance_to_team_centroid, relative_team_centroid_distance, avg_distance_moved_per_round, avg_distance_to_closest_teammate, time_near_enemy_rate, first_contact_rate, first_contact_received_rate, time_stationary_rate",0.15607205647490774,1.8588029344700585,0.8530077793036922,0.10799659424907586,0.38183835473843447,0.7421875,0.43039264833504215
t,no_utility,4,34,"adr_std, kpr, survival_rate, damage_per_round, damage_taken_per_round, assists_per_round, flash_assists_per_round, trade_kill_rate, death_traded_rate, opening_kill_rate, opening_death_rate, opening_duel_success, multi_kill_rate, rifle_kill_share, awp_kill_share, avg_distance_to_enemy, avg_distance_to_enemy_std, avg_distance_to_team_centroid, avg_distance_to_team_centroid_std, relative_team_centroid_distance, relative_team_centroid_distance_std, avg_distance_moved_per_round, avg_distance_moved_per_round_std, avg_distance_to_closest_teammate, avg_distance_to_closest_teammate_std, time_near_enemy_rate, time_near_enemy_rate_std, first_contact_rate, first_contact_received_rate, time_stationary_rate, time_stationary_rate_std, kast_std, impact_std, rating_std",0.14037359334396027,2.0133888113346354,0.856034059534772,0.08790459431462296,0.43549515397754757,0.765625,0.4297716829055871
t,trading_teamwork_only,4,4,"trade_kill_rate, death_traded_rate, assists_per_round, flash_assists_per_round",0.23296809037512983,1.256450145575542,0.7187872118100447,0.14865365859855456,0.13068874654778734,0.5390625,0.4098754541715318
t,no_combat,4,33,"adr_std, util_damage_per_round, assists_per_round, flash_assists_per_round, trade_kill_rate, death_traded_rate, opening_kill_rate, opening_death_rate, opening_duel_success, he_grenades_per_round, flashbangs_per_round, smokes_per_round, fire_nades_per_round, decoys_per_round, avg_distance_to_enemy, avg_distance_to_enemy_std, avg_distance_to_team_centroid, avg_distance_to_team_centroid_std, relative_team_centroid_distance, relative_team_centroid_distance_std, avg_distance_moved_per_round, avg_distance_moved_per_round_std, avg_distance_to_closest_teammate, avg_distance_to_closest_teammate_std, time_near_enemy_rate, time_near_enemy_rate_std, first_contact_rate, first_contact_received_rate, time_stationary_rate, time_stationary_rate_std, kast_std, impact_std, rating_std",0.12293511060836011,2.242550056907277,0.8465649222893751,0.11015119329842693,0.43863981361541937,0.7734375,0.4054193854919932
t,no_weapon_share,4,38,"adr_std, kpr, survival_rate, damage_per_round, damage_taken_per_round, util_damage_per_round, assists_per_round, flash_assists_per_round, trade_kill_rate, death_traded_rate, opening_kill_rate, opening_death_rate, opening_duel_success, multi_kill_rate, he_grenades_per_round, flashbangs_per_round, smokes_per_round, fire_nades_per_round, decoys_per_round, avg_distance_to_enemy, avg_distance_to_enemy_std, avg_distance_to_team_centroid, avg_distance_to_team_centroid_std, relative_team_centroid_distance, relative_team_centroid_distance_std, avg_distance_moved_per_round, avg_distance_moved_per_round_std, avg_distance_to_closest_teammate, avg_distance_to_closest_teammate_std, time_near_enemy_rate, time_near_enemy_rate_std, first_contact_rate, first_contact_received_rate, time_stationary_rate, time_stationary_rate_std, kast_std, impact_std, rating_std",0.12027803845227608,2.149654633494892,0.8120567803638248,0.09798489775906373,0.42630778254807977,0.75,0.39723899395822027
t,opening_aggression_only,4,6,"opening_kill_rate, opening_death_rate, opening_duel_success, first_contact_rate, first_contact_received_rate, time_near_enemy_rate",0.25272227274989556,1.2505015119693852,0.6676554415756603,0.15316023806303078,0.23348214420779517,0.5546875,0.39575607099053367
