,importance
avg_distance_to_team_centroid,0.10083482057456593
awp_kill_share,0.09450341285349621
relative_team_centroid_distance,0.0902534315181263
rifle_kill_share,0.0869513015605042
avg_distance_to_closest_teammate_std,0.07614456208463281
time_near_enemy_rate,0.07020129725990647
avg_distance_to_closest_teammate,0.062137374207321516
avg_distance_to_enemy,0.05749205304329851
avg_distance_to_team_centroid_std,0.0571230789089476
opening_kill_rate,0.02638426612765802
first_contact_rate,0.024763174253373443
damage_taken_per_round,0.024398916396448048
assists_per_round,0.021916770657865493
time_stationary_rate,0.021250071621758345
fire_nades_per_round,0.020167865000281178
he_grenades_per_round,0.02009569153446002
damage_per_round,0.019206743715390502
util_damage_per_round,0.013062839804381787
survival_rate,0.011656400273852957
smokes_per_round,0.011280233908490443
avg_distance_to_enemy_std,0.008776542949213366
first_contact_received_rate,0.008699989293527536
multi_kill_rate,0.008444789252728756
time_near_enemy_rate_std,0.006587656649365952
relative_team_centroid_distance_std,0.005552196554630524
opening_death_rate,0.005352856099725391
avg_distance_moved_per_round,0.005020458499877406
death_traded_rate,0.0048331801253975095
rating_std,0.00455766366389041
kpr,0.004204629079475439
impact_std,0.00413508433990696
adr_std,0.0037268653131484098
trade_kill_rate,0.0034719128189974607
avg_distance_moved_per_round_std,0.003209985409503704
flash_assists_per_round,0.0026510375212477444
time_stationary_rate_std,0.002371858142809649
opening_duel_success,0.002357141290689099
kast_std,0.00233558662141464
flashbangs_per_round,0.001955794984245221
decoys_per_round,0.0018304224712437896
player_page,0.00010004361420123698
