,importance
awp_kill_share,0.23550369756982428
rifle_kill_share,0.19913168951357524
time_near_enemy_rate,0.1329574913373295
fire_nades_per_round,0.061958409973899786
time_stationary_rate,0.061571452224651456
avg_distance_to_team_centroid_std,0.033584407741039275
damage_taken_per_round,0.028281344630977905
avg_distance_to_enemy,0.026098942183987388
avg_distance_to_enemy_std,0.025438441022449895
smokes_per_round,0.019680749133272446
he_grenades_per_round,0.018056294446060855
survival_rate,0.017758024986156147
avg_distance_to_closest_teammate_std,0.016369962792276947
opening_duel_success,0.01572685417698657
opening_kill_rate,0.014657154000306087
assists_per_round,0.011673971730346601
damage_per_round,0.008560976862351811
relative_team_centroid_distance_std,0.008262438770064589
avg_distance_moved_per_round,0.006445825072519861
util_damage_per_round,0.005891901821374613
first_contact_rate,0.005680188003162193
flash_assists_per_round,0.005590004942180516
relative_team_centroid_distance,0.0053944666990207845
death_traded_rate,0.004829602004581514
avg_distance_to_team_centroid,0.004459509033731472
time_near_enemy_rate_std,0.004335688822341441
time_stationary_rate_std,0.003022434001720679
avg_distance_to_closest_teammate,0.0028213939005162962
kpr,0.002735267447748355
rating_std,0.002556883403148729
opening_death_rate,0.0021968636450706265
multi_kill_rate,0.0019246386742095413
impact_std,0.0014124120446538223
avg_distance_moved_per_round_std,0.0012254574083108436
first_contact_received_rate,0.001174538582929562
adr_std,0.001008916610077614
kast_std,0.000650088735261391
flashbangs_per_round,0.0005251805198973043
trade_kill_rate,0.00044042810244930656
decoys_per_round,0.00024621906974848183
player_page,0.0001597883597883598
