,importance
awp_kill_share,0.08505779350774453
rifle_kill_share,0.07980626339900733
avg_distance_to_team_centroid,0.07940767974424394
relative_team_centroid_distance,0.07438529543217491
avg_distance_to_closest_teammate_std,0.0707346451010858
time_near_enemy_rate,0.06344445493446149
avg_distance_to_team_centroid_std,0.04374916446089452
avg_distance_to_closest_teammate,0.042528470014406246
damage_taken_per_round,0.04225028051677187
avg_distance_to_enemy,0.03966105603574299
survival_rate,0.036419776131695766
multi_kill_rate,0.03221988370140747
time_stationary_rate,0.02764173724626471
opening_kill_rate,0.025138750670605472
fire_nades_per_round,0.023736789516455577
first_contact_rate,0.0236407212060371
kpr,0.01952582265241371
damage_per_round,0.018161203719576066
he_grenades_per_round,0.014552450688608692
assists_per_round,0.013430103201739499
smokes_per_round,0.013189734879455524
impact_std,0.012463901800710681
opening_duel_success,0.011812727306495425
avg_distance_moved_per_round,0.011099142292228999
first_contact_received_rate,0.010008206989405471
util_damage_per_round,0.009837486400715285
adr_std,0.009355118424507971
rating_std,0.007723501174283536
avg_distance_to_enemy_std,0.007621937272216193
avg_distance_moved_per_round_std,0.007314505265219218
opening_death_rate,0.006336942856745444
relative_team_centroid_distance_std,0.006181592864438842
trade_kill_rate,0.005081108130847427
time_stationary_rate_std,0.00499317235136405
time_near_enemy_rate_std,0.00472849144065183
flashbangs_per_round,0.004629417864936176
death_traded_rate,0.003413967937230306
flash_assists_per_round,0.003380947555853782
kast_std,0.0026071698856215126
decoys_per_round,0.002564323954535255
player_page,0.00016426147119930475
