feature,importance
awp_kill_share,0.157199
rifle_kill_share,0.10180278
avg_distance_to_enemy,0.08790778
relative_team_centroid_distance,0.06867221
avg_distance_moved_per_round,0.04571089
avg_distance_to_team_centroid_std,0.041709796
assists_per_round,0.026297487
opening_duel_success,0.026088318
time_stationary_rate,0.025813496
avg_distance_to_enemy_std,0.025773976
avg_distance_to_team_centroid,0.024775213
kast_std,0.02372935
first_contact_rate,0.022663575
adr_std,0.021686608
avg_distance_moved_per_round_std,0.02143383
util_damage_per_round,0.019831274
flash_assists_per_round,0.017775545
opening_kill_rate,0.017718747
impact_std,0.016227784
rating_std,0.015899401
multi_kill_rate,0.014830118
avg_distance_to_closest_teammate_std,0.014594146
time_near_enemy_rate_std,0.013841797
fire_nades_per_round,0.012287508
smokes_per_round,0.011971107
time_near_enemy_rate,0.011900765
damage_taken_per_round,0.011615393
he_grenades_per_round,0.011470589
time_stationary_rate_std,0.0101892175
relative_team_centroid_distance_std,0.009772852
trade_kill_rate,0.009701797
survival_rate,0.008757266
death_traded_rate,0.007902898
decoys_per_round,0.0077592824
opening_death_rate,0.0073025823
first_contact_received_rate,0.007109472
avg_distance_to_closest_teammate,0.0057541043
kpr,0.0054899394
damage_per_round,0.00456554
flashbangs_per_round,0.0044666235
