feature,importance
rifle_kill_share,0.16416721
awp_kill_share,0.15916331
decoys_per_round,0.05421273
time_near_enemy_rate_std,0.04147507
avg_distance_moved_per_round,0.041148603
avg_distance_to_enemy_std,0.037708726
kpr,0.031015694
time_stationary_rate,0.028354703
time_stationary_rate_std,0.028116465
survival_rate,0.026523298
first_contact_received_rate,0.02560304
avg_distance_moved_per_round_std,0.024814224
flash_assists_per_round,0.023415102
death_traded_rate,0.022611842
assists_per_round,0.022544418
first_contact_rate,0.01843423
impact_std,0.017789446
he_grenades_per_round,0.017287377
rating_std,0.017010624
opening_kill_rate,0.014062374
relative_team_centroid_distance_std,0.013829531
avg_distance_to_closest_teammate_std,0.012837469
flashbangs_per_round,0.012331996
opening_duel_success,0.011821804
opening_death_rate,0.011416078
fire_nades_per_round,0.0106902905
adr_std,0.01056855
util_damage_per_round,0.010478445
multi_kill_rate,0.009995476
avg_distance_to_team_centroid_std,0.009073045
avg_distance_to_team_centroid,0.008816214
damage_per_round,0.008785929
smokes_per_round,0.008457305
trade_kill_rate,0.0076228515
relative_team_centroid_distance,0.0074014748
avg_distance_to_closest_teammate,0.0069841384
kast_std,0.0069426373
avg_distance_to_enemy,0.006349166
time_near_enemy_rate,0.005649327
damage_taken_per_round,0.0044897427
