feature,importance
rifle_kill_share,0.15348807
awp_kill_share,0.10349071
avg_distance_to_closest_teammate_std,0.059853
avg_distance_to_team_centroid,0.057384215
damage_taken_per_round,0.052074827
he_grenades_per_round,0.05096253
survival_rate,0.049880736
multi_kill_rate,0.043421503
time_stationary_rate,0.030919671
relative_team_centroid_distance,0.030856276
util_damage_per_round,0.03059119
kpr,0.030041961
avg_distance_moved_per_round,0.026735974
impact_std,0.022333752
avg_distance_to_enemy,0.021410875
decoys_per_round,0.020411847
avg_distance_to_closest_teammate,0.018835766
time_near_enemy_rate,0.017894609
first_contact_rate,0.01690291
avg_distance_to_team_centroid_std,0.013501063
opening_death_rate,0.012337604
opening_kill_rate,0.010690639
fire_nades_per_round,0.010308785
damage_per_round,0.010092337
smokes_per_round,0.010037792
time_near_enemy_rate_std,0.009474203
adr_std,0.00942976
avg_distance_moved_per_round_std,0.008963227
trade_kill_rate,0.008214438
rating_std,0.00808607
assists_per_round,0.007130124
relative_team_centroid_distance_std,0.006749472
avg_distance_to_enemy_std,0.006369543
first_contact_received_rate,0.0056676664
death_traded_rate,0.00548724
kast_std,0.004972229
opening_duel_success,0.0046288
flashbangs_per_round,0.0045157233
flash_assists_per_round,0.003982142
time_stationary_rate_std,0.0018707173
