feature,importance
awp_kill_share,0.18256204
rifle_kill_share,0.085508384
damage_per_round,0.070706464
first_contact_rate,0.0584039
time_stationary_rate,0.041897077
time_near_enemy_rate,0.038893938
adr,0.035202503
death_traded_rate,0.029520322
opening_duel_success,0.025300298
time_stationary_rate_std,0.024417017
assists_per_round,0.023842076
damage_taken_per_round,0.023170726
damage_diff_per_round,0.020985626
survival_rate,0.020200036
rounds_played,0.01998214
relative_team_centroid_distance,0.019379795
avg_distance_moved_per_round,0.019183645
kpr,0.018650644
multi_kill_rate,0.015829671
fire_nades_per_round,0.015221571
flash_assists_per_round,0.015118053
relative_team_centroid_distance_std,0.014889298
time_near_enemy_rate_std,0.014831386
avg_distance_to_closest_teammate_std,0.014390107
avg_distance_moved_per_round_std,0.0138404295
avg_distance_to_enemy,0.012120812
he_grenades_per_round,0.011646671
grenades_per_round,0.011485821
adr_std,0.010116404
smokes_per_round,0.009237649
trade_participation,0.008994433
avg_distance_to_team_centroid,0.008466926
util_damage_per_round,0.008114414
avg_distance_to_closest_teammate,0.008079568
opening_death_rate,0.007950804
avg_distance_to_enemy_std,0.007241924
first_contact_rate_std,0.0063271173
avg_distance_to_team_centroid_std,0.0062284074
kast_std,0.0058609536
trade_kill_rate,0.005166035
opening_kill_rate,0.004398404
impact_std,0.0028213577
flashbangs_per_round,0.0027029486
rating_std,0.0011123274
decoys_per_round,0.0
