feature,importance
rifle_kill_share,0.18403699
awp_kill_share,0.11240552
rounds_played,0.0992994
fire_nades_per_round,0.056851335
assists_per_round,0.054425005
kpr,0.0393053
survival_rate,0.03094209
flashbangs_per_round,0.027984397
grenades_per_round,0.027100738
multi_kill_rate,0.022640062
damage_diff_per_round,0.021248342
adr,0.020639516
avg_distance_to_enemy_std,0.019301662
util_damage_per_round,0.018882088
avg_distance_to_team_centroid_std,0.016738776
time_stationary_rate_std,0.01666994
first_contact_rate,0.016364245
avg_distance_moved_per_round_std,0.015730644
avg_distance_moved_per_round,0.014647775
adr_std,0.0140299965
damage_per_round,0.0134996865
trade_participation,0.01339216
time_near_enemy_rate,0.012577904
relative_team_centroid_distance_std,0.012424316
smokes_per_round,0.01126902
avg_distance_to_closest_teammate_std,0.008998717
opening_duel_success,0.008680817
time_near_enemy_rate_std,0.008027378
rating_std,0.007992262
opening_kill_rate,0.007757212
time_stationary_rate,0.0072480068
avg_distance_to_enemy,0.0063825245
death_traded_rate,0.0059026172
impact_std,0.0055126273
kast_std,0.004685851
avg_distance_to_team_centroid,0.0046583265
he_grenades_per_round,0.0045948783
flash_assists_per_round,0.0044530677
trade_kill_rate,0.004357301
first_contact_rate_std,0.004328886
relative_team_centroid_distance,0.0038546259
opening_death_rate,0.0038461857
damage_taken_per_round,0.0036320537
avg_distance_to_closest_teammate,0.0026797333
decoys_per_round,0.0
