feature,importance
rifle_kill_share,0.1462336
awp_kill_share,0.114564806
relative_team_centroid_distance,0.10107379
avg_distance_to_team_centroid,0.05277622
time_near_enemy_rate,0.048804518
avg_distance_to_closest_teammate,0.045521505
avg_distance_to_team_centroid_std,0.042933337
avg_distance_to_closest_teammate_std,0.042717487
avg_distance_to_enemy,0.0390091
first_contact_rate,0.035885572
death_traded_rate,0.02641811
trade_participation,0.025778677
flashbangs_per_round,0.023123687
multi_kill_rate,0.020420467
trade_kill_rate,0.0180201
damage_taken_per_round,0.015400497
decoys_per_round,0.01454623
damage_per_round,0.013993479
kast_std,0.01342196
survival_rate,0.012529063
relative_team_centroid_distance_std,0.011683467
he_grenades_per_round,0.010654228
grenades_per_round,0.009561169
rounds_played,0.009384332
adr,0.009177562
kpr,0.009039532
util_damage_per_round,0.00874031
first_contact_rate_std,0.008418715
time_near_enemy_rate_std,0.0077829533
rating_std,0.0072054057
time_stationary_rate,0.007044999
opening_duel_success,0.0065811304
adr_std,0.005968356
fire_nades_per_round,0.004508156
avg_distance_moved_per_round_std,0.0045070495
avg_distance_to_enemy_std,0.0043256814
opening_death_rate,0.003956793
avg_distance_moved_per_round,0.0038740267
assists_per_round,0.0037761722
damage_diff_per_round,0.003602033
opening_kill_rate,0.0029285674
time_stationary_rate_std,0.0023591549
flash_assists_per_round,0.0014983944
smokes_per_round,0.00024954736
impact_std,0.0
