,importance
avg_distance_to_team_centroid,0.07337363574121986
avg_distance_to_closest_teammate,0.06809805693341837
first_contact_rate,0.06203066798438622
awp_kill_share,0.057261981899796865
flash_assists_per_round,0.05673220756407678
flashbangs_per_round,0.05083228382631968
relative_team_centroid_distance,0.049640511933008655
damage_taken_per_round,0.04633755396748237
survival_rate,0.038286551632258525
avg_distance_to_closest_teammate_std,0.03529113034160994
time_near_enemy_rate,0.035122020592527
opening_death_rate,0.034533602260933625
damage_diff_per_round,0.032989136786208524
avg_distance_to_team_centroid_std,0.02997124379213924
grenades_per_round,0.027926559428341987
he_grenades_per_round,0.02653775265833286
rifle_kill_share,0.024465438238175995
damage_per_round,0.024007182753205573
avg_distance_to_enemy,0.02228019599825666
smokes_per_round,0.022019591577802516
relative_team_centroid_distance_std,0.018669009776732776
multi_kill_rate,0.017702464899543743
time_stationary_rate,0.016622095917721867
opening_kill_rate,0.01459127937863474
fire_nades_per_round,0.014298671358856119
avg_distance_moved_per_round,0.012989186155759636
util_damage_per_round,0.010969817881931661
avg_distance_to_enemy_std,0.008481638133572049
first_contact_rate_std,0.00716303139485403
opening_duel_success,0.00631321915111674
trade_kill_rate,0.0059863534462991416
kast_std,0.005697486402699493
time_near_enemy_rate_std,0.005497545502030667
avg_distance_moved_per_round_std,0.005261991827051659
time_stationary_rate_std,0.004198585172650483
trade_participation,0.004135548864608711
adr_std,0.004086395680006535
assists_per_round,0.003991231130348177
rating_std,0.003981766472727698
impact_std,0.003967061424642532
death_traded_rate,0.003885530566083329
rounds_played,0.002927288271974885
decoys_per_round,0.0008454952806520756
