,importance
awp_kill_share,0.22674955553389406
he_grenades_per_round,0.14928688534664278
rifle_kill_share,0.1312016059901707
opening_death_rate,0.07460093367456104
flash_assists_per_round,0.07050985387510746
flashbangs_per_round,0.058070128348600786
time_near_enemy_rate,0.05119020421085846
survival_rate,0.03511313590885925
relative_team_centroid_distance,0.029635139089014165
util_damage_per_round,0.027964216336863617
fire_nades_per_round,0.026039428868707682
damage_taken_per_round,0.025708054927420086
first_contact_received_rate,0.017417920792699673
avg_distance_to_team_centroid,0.013218026436861423
opening_duel_success,0.009949516290052656
relative_team_centroid_distance_std,0.009467400827241556
avg_distance_to_closest_teammate_std,0.0054325845580635405
time_stationary_rate_std,0.005375242246932678
avg_distance_to_closest_teammate,0.003558447569140536
avg_distance_moved_per_round_std,0.0035450032437141636
opening_kill_rate,0.0027108596499785653
avg_distance_moved_per_round,0.002504924805938111
avg_distance_to_enemy,0.0023877474478432876
smokes_per_round,0.0023331562262607305
death_traded_rate,0.0019008204595065302
multi_kill_rate,0.0018267696665781774
trade_kill_rate,0.0018159158137814025
first_contact_rate,0.001742838912057016
assists_per_round,0.0011727371472212607
avg_distance_to_enemy_std,0.0011347243054433687
kast_std,0.001133689430857485
avg_distance_to_team_centroid_std,0.0011261145705760936
time_near_enemy_rate_std,0.0008552624376993974
decoys_per_round,0.000828268494947568
impact_std,0.0006538966116684
adr_std,0.0006176154672395272
time_stationary_rate,0.0005018569927971189
damage_per_round,0.00036925033535203044
rating_std,0.00019622931896883425
kpr,0.00015403782987880846
player_page,0.0
