,importance
awp_kill_share,0.08270423030003647
he_grenades_per_round,0.059161931189589574
relative_team_centroid_distance,0.05311527710028642
avg_distance_to_team_centroid,0.052764889640349234
rifle_kill_share,0.04982455869613052
avg_distance_to_closest_teammate,0.0470798235681474
flash_assists_per_round,0.042576250274965595
damage_per_round,0.04149008454991411
opening_death_rate,0.03935999916797805
multi_kill_rate,0.03864803438232019
flashbangs_per_round,0.03822703772912872
kpr,0.0375607550050888
opening_kill_rate,0.03624948204966713
survival_rate,0.034257929539451046
damage_taken_per_round,0.03358648649860637
first_contact_received_rate,0.031425948385449494
opening_duel_success,0.03048587314590104
time_near_enemy_rate,0.026359581605548042
avg_distance_moved_per_round,0.023702873697987424
time_stationary_rate,0.022659496793171065
smokes_per_round,0.019911742047454984
avg_distance_to_closest_teammate_std,0.0168933460769443
impact_std,0.016541848422988104
avg_distance_to_team_centroid_std,0.013858867109357149
avg_distance_to_enemy,0.013805275030028909
rating_std,0.0113580074073042
relative_team_centroid_distance_std,0.01049974927730783
fire_nades_per_round,0.01043046417965236
util_damage_per_round,0.01021233200755522
first_contact_rate,0.00938400098090143
adr_std,0.007882383518357936
trade_kill_rate,0.007422295545349694
assists_per_round,0.006077845017813499
avg_distance_to_enemy_std,0.005347020542185461
death_traded_rate,0.004274826601052048
avg_distance_moved_per_round_std,0.004187185859138208
time_stationary_rate_std,0.0037543693716778764
time_near_enemy_rate_std,0.0030345217526163066
kast_std,0.0024285361638928687
decoys_per_round,0.0014548397687049208
player_page,0.0
