feature,importance
awp_kill_share,0.14036527
first_contact_received_rate,0.08584475
avg_distance_to_team_centroid,0.06646271
damage_per_round,0.0625739
smokes_per_round,0.058132365
relative_team_centroid_distance,0.045991898
time_near_enemy_rate,0.040115774
opening_death_rate,0.039154086
avg_distance_to_closest_teammate,0.037609186
fire_nades_per_round,0.026057692
opening_duel_success,0.02502595
assists_per_round,0.024479
he_grenades_per_round,0.02438321
opening_kill_rate,0.024026059
multi_kill_rate,0.021786543
adr_std,0.021698933
flash_assists_per_round,0.019572726
first_contact_rate,0.018942473
trade_kill_rate,0.018406158
avg_distance_to_enemy,0.01744691
flashbangs_per_round,0.017284317
rifle_kill_share,0.014941103
avg_distance_to_team_centroid_std,0.014262226
util_damage_per_round,0.013715113
survival_rate,0.013138104
kpr,0.012318372
time_stationary_rate,0.011239213
damage_taken_per_round,0.010322199
avg_distance_moved_per_round,0.009926969
time_near_enemy_rate_std,0.008992221
avg_distance_to_closest_teammate_std,0.00838057
kast_std,0.008069574
avg_distance_to_enemy_std,0.0077466685
rating_std,0.0064550927
death_traded_rate,0.006447744
impact_std,0.0063758558
time_stationary_rate_std,0.0038317146
decoys_per_round,0.0030924936
avg_distance_moved_per_round_std,0.0029139272
relative_team_centroid_distance_std,0.002470982
