feature,importance
awp_kill_share,0.14777327
he_grenades_per_round,0.1311996
decoys_per_round,0.05392145
adr_std,0.03946626
opening_death_rate,0.033834156
time_near_enemy_rate_std,0.033819932
avg_distance_moved_per_round,0.03169475
first_contact_rate,0.031394072
avg_distance_to_team_centroid,0.029489314
avg_distance_to_closest_teammate_std,0.025928864
avg_distance_to_closest_teammate,0.025127044
first_contact_received_rate,0.023877263
opening_duel_success,0.022187602
death_traded_rate,0.022095818
relative_team_centroid_distance,0.02192834
trade_kill_rate,0.021378912
survival_rate,0.021373367
damage_per_round,0.020342711
damage_taken_per_round,0.01969221
flash_assists_per_round,0.019273048
rifle_kill_share,0.018177211
kast_std,0.017605675
assists_per_round,0.015670747
rating_std,0.015171504
kpr,0.015069998
util_damage_per_round,0.014433737
multi_kill_rate,0.013000228
flashbangs_per_round,0.012328888
avg_distance_to_team_centroid_std,0.011609849
avg_distance_moved_per_round_std,0.011546854
impact_std,0.011187614
avg_distance_to_enemy,0.010910964
opening_kill_rate,0.009912159
fire_nades_per_round,0.008881703
time_stationary_rate_std,0.008839841
avg_distance_to_enemy_std,0.008325668
relative_team_centroid_distance_std,0.0078604575
time_near_enemy_rate,0.0058613154
time_stationary_rate,0.0048601604
smokes_per_round,0.0029474096
