feature,importance
awp_kill_share,0.15800573
smokes_per_round,0.07288445
relative_team_centroid_distance,0.062630564
damage_taken_per_round,0.046328925
avg_distance_to_team_centroid,0.041833382
damage_per_round,0.03933331
survival_rate,0.038848322
first_contact_received_rate,0.03882667
opening_duel_success,0.034784615
opening_kill_rate,0.033615578
multi_kill_rate,0.032433644
opening_death_rate,0.029118283
avg_distance_to_closest_teammate,0.029084217
kpr,0.022443313
fire_nades_per_round,0.02239186
avg_distance_moved_per_round,0.021914897
avg_distance_moved_per_round_std,0.020444956
rifle_kill_share,0.020142253
util_damage_per_round,0.020080414
relative_team_centroid_distance_std,0.018463416
decoys_per_round,0.018449178
flash_assists_per_round,0.017257126
time_stationary_rate,0.014325005
rating_std,0.01378662
he_grenades_per_round,0.011850038
adr_std,0.011485192
avg_distance_to_closest_teammate_std,0.0107923625
time_stationary_rate_std,0.010693813
impact_std,0.010368751
assists_per_round,0.009564183
avg_distance_to_team_centroid_std,0.009180468
trade_kill_rate,0.008956636
time_near_enemy_rate,0.0084334705
flashbangs_per_round,0.007243146
first_contact_rate,0.007054751
death_traded_rate,0.0067789434
kast_std,0.005405108
avg_distance_to_enemy,0.005404315
avg_distance_to_enemy_std,0.0050437935
time_near_enemy_rate_std,0.004318325
