feature,importance
awp_kill_share,0.15398511
first_contact_rate,0.07217374
avg_distance_to_enemy,0.07039826
relative_team_centroid_distance,0.06147851
adr,0.042468034
flash_assists_per_round,0.04174379
survival_rate,0.04126592
avg_distance_to_closest_teammate,0.04014307
avg_distance_to_team_centroid,0.03872404
damage_taken_per_round,0.032865036
opening_death_rate,0.031932432
damage_diff_per_round,0.02689594
grenades_per_round,0.021601176
fire_nades_per_round,0.019772666
opening_kill_rate,0.019606458
kpr,0.019282902
adr_std,0.018539874
rounds_played,0.016035648
flashbangs_per_round,0.01553354
avg_distance_to_team_centroid_std,0.015249832
avg_distance_moved_per_round,0.014729009
he_grenades_per_round,0.013592798
avg_distance_to_closest_teammate_std,0.013164803
trade_participation,0.012535211
time_near_enemy_rate,0.012466315
multi_kill_rate,0.012032934
util_damage_per_round,0.011228577
relative_team_centroid_distance_std,0.010804423
opening_duel_success,0.010495182
smokes_per_round,0.009752266
time_near_enemy_rate_std,0.009303824
damage_per_round,0.009014014
avg_distance_to_enemy_std,0.008792019
assists_per_round,0.0076392973
first_contact_rate_std,0.007439542
trade_kill_rate,0.007277453
impact_std,0.0056563998
time_stationary_rate,0.005555616
rifle_kill_share,0.005428724
rating_std,0.0047030738
kast_std,0.0033780104
time_stationary_rate_std,0.0023919938
avg_distance_moved_per_round_std,0.0021235852
death_traded_rate,0.0007989053
decoys_per_round,0.0
