feature,importance
first_contact_rate,0.11342835
awp_kill_share,0.097215675
rounds_played,0.076612346
rifle_kill_share,0.0668727
grenades_per_round,0.06323524
time_stationary_rate,0.047393296
avg_distance_moved_per_round,0.045606755
trade_kill_rate,0.04437848
avg_distance_to_enemy_std,0.032909196
first_contact_rate_std,0.02884141
assists_per_round,0.027066378
he_grenades_per_round,0.026765406
relative_team_centroid_distance_std,0.021083133
kpr,0.02081016
flash_assists_per_round,0.019786911
opening_kill_rate,0.018058596
avg_distance_to_team_centroid_std,0.015393994
time_near_enemy_rate_std,0.015133695
damage_taken_per_round,0.014248086
kast_std,0.013252102
time_stationary_rate_std,0.012522022
avg_distance_to_enemy,0.012209079
survival_rate,0.011464469
damage_diff_per_round,0.011398328
impact_std,0.01091833
opening_death_rate,0.0108695
flashbangs_per_round,0.0106604425
fire_nades_per_round,0.0104077635
death_traded_rate,0.00936462
util_damage_per_round,0.009079569
adr_std,0.008253317
avg_distance_to_closest_teammate_std,0.0081509175
avg_distance_moved_per_round_std,0.008044694
multi_kill_rate,0.007737391
damage_per_round,0.0075862575
trade_participation,0.0074313157
rating_std,0.007295798
opening_duel_success,0.0065414687
avg_distance_to_closest_teammate,0.0061040325
smokes_per_round,0.0040596933
relative_team_centroid_distance,0.0037944315
avg_distance_to_team_centroid,0.0031027177
time_near_enemy_rate,0.0030818016
adr,0.0018300891
decoys_per_round,0.0
