feature,importance
awp_kill_share,0.11813125
smokes_per_round,0.07465849
avg_distance_to_closest_teammate,0.061617896
avg_distance_to_enemy,0.052475106
damage_diff_per_round,0.051823284
avg_distance_to_team_centroid,0.04368525
avg_distance_to_enemy_std,0.03499809
flash_assists_per_round,0.0331256
first_contact_rate,0.032898832
grenades_per_round,0.03069548
rifle_kill_share,0.02991876
fire_nades_per_round,0.02937967
damage_per_round,0.027580984
relative_team_centroid_distance,0.026244262
he_grenades_per_round,0.02285654
avg_distance_to_closest_teammate_std,0.022310335
time_near_enemy_rate,0.021233452
opening_kill_rate,0.020293733
survival_rate,0.019369867
kpr,0.018190095
trade_participation,0.017837916
adr,0.014233895
damage_taken_per_round,0.014184756
opening_death_rate,0.013804341
flashbangs_per_round,0.0121246455
trade_kill_rate,0.01199075
rating_std,0.011125272
first_contact_rate_std,0.010081223
adr_std,0.009591764
time_stationary_rate,0.009549847
avg_distance_moved_per_round,0.009546656
multi_kill_rate,0.009360266
relative_team_centroid_distance_std,0.009225314
impact_std,0.0090588
util_damage_per_round,0.008111192
avg_distance_to_team_centroid_std,0.007967806
assists_per_round,0.007958674
kast_std,0.00745028
time_near_enemy_rate_std,0.006880935
time_stationary_rate_std,0.006733025
decoys_per_round,0.0067172297
death_traded_rate,0.005282927
opening_duel_success,0.005239916
rounds_played,0.002235906
avg_distance_moved_per_round_std,0.0022196728
